,submission_id,user_id,location_name,submission_timestamp,questions_134999_where_are_you_eating_at_the_moment,questions_135005_who_are_you_with,questions_134999_where_are_you_eating_at_the_moment,questions_135000_which_of_the_following_best_describes_where_you_got_your_food_from_today,questions_135004_what_else_if_anything_are_you_doing_while_eating_your_food_for_example_are_you_also_watching_tv_checking_social_media_cooking_etc_coded,questions_135022_who_prepared_the_food,level2dish_coded,questions_135019_what_are_the_main_reasons_that_you_chose_this_food_right_now_if_you_are_having_more_than_one_item_please_write_about_the_main_item_you_are_having_please_be_as_detailed_as_you_can_coded,questions_135020_what_other_food_if_any_did_you_consider_having_instead_coded,questions_223649_149206_210007_finally_which_best_describes_the_food_you_are_having_today
19,47,26773310.0,South Africa,2019-01-26 15:57:33.496089,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Browsing social media""]",It was premade / ready to eat,"[""Potato crisps""]","[""It's light / not filling"", ""It's what I wanted""]","[""Sweet pastry / baked goods""]",Snack
20,48,1249547247.0,South Africa,2019-05-16 08:31:15.388530,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Fried sweets (e.g. churros, donuts)""]","[""It's what I wanted"", ""I wanted to treat myself""]","[""Savoury snacks""]",Treat
21,50,1601484149.0,South Africa,2019-01-30 01:48:46.940630,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Working / studying""]",Someone else prepared it,"[""Pasta with vegetables""]","[""It's what I wanted""]","[""Dairy"", ""Meat""]",Dinner
22,57,6987926964.0,South Africa,2019-07-16 15:05:50.893302,At school / work,"[""Alone""]",At school / work,Supermarket / Hypermarket / Grocery Store ,"[""Working / studying""]",It was premade / ready to eat,"[""Potato crisps""]","[""I was hungry""]","[""Nothing""]",Snack
23,60,5953679300.0,South Africa,2019-07-02 16:55:53.428082,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Tropical and exotic fruit"", ""Citrus fruit""]","[""It's a healthy choice""]","[""Fruit""]",Lunch
24,62,1530218349.0,South Africa,2019-01-31 15:51:29.257629,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Chocolate sweets/ snacks""]","[""It's what I wanted"", ""I had a craving""]","[""Nothing""]",Treat
25,64,6920756868.0,South Africa,2019-06-30 06:40:51.939529,At my home,"[""Other family members""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Olives"", ""Soft cheese/ cheese spread"", ""Bread/ roll/ baguette"", ""Jam"", ""Plain nuts""]","[""It's a healthy choice""]","[""Other Dishes""]",Breakfast
26,66,2771744552.0,South Africa,2019-01-26 14:59:21.839608,At my home,"[""Alone""]",At my home,Cafe / restaurant,"[""Talking to someone""]",,"[""Savoury snacks""]","[""I like the taste""]","[""Other dishes""]",Snack
27,68,3602231070.0,South Africa,2019-05-01 03:03:59.732160,At my home,"[""Alone""]",At my home,,"[""Listening to music""]",Someone else prepared it,"[""Plain rice""]","[""I like the taste"", ""Convenient""]","[""Other dishes""]",Snack
28,75,1218046974.0,South Africa,2019-05-10 13:04:45.648949,At school / work,"[""Alone""]",At school / work,Supermarket / Hypermarket / Grocery Store ,"[""Working / studying""]",It was premade / ready to eat,"[""Candy""]","[""I like the taste""]","[""Nothing""]",Treat
