,submission_id,user_id,location_name,submission_timestamp,questions_134999_where_are_you_eating_at_the_moment,questions_135005_who_are_you_with,questions_134999_where_are_you_eating_at_the_moment,questions_135000_which_of_the_following_best_describes_where_you_got_your_food_from_today,questions_135004_what_else_if_anything_are_you_doing_while_eating_your_food_for_example_are_you_also_watching_tv_checking_social_media_cooking_etc_coded,questions_135022_who_prepared_the_food,level2dish_coded,questions_135019_what_are_the_main_reasons_that_you_chose_this_food_right_now_if_you_are_having_more_than_one_item_please_write_about_the_main_item_you_are_having_please_be_as_detailed_as_you_can_coded,questions_135020_what_other_food_if_any_did_you_consider_having_instead_coded,questions_223649_149206_210007_finally_which_best_describes_the_food_you_are_having_today
342,870,40276154.0,South Africa,2019-02-01 15:34:50.233134,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",Someone else prepared it,"[""Pork"", ""Marrow and aubergine""]","[""Someone prepared it for me""]","[""Water""]",Lunch
343,871,3355652039.0,South Africa,2019-03-28 05:57:58.328875,At my home,"[""My children""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Nothing""]",It was premade / ready to eat,"[""Apples and pears""]","[""Cheap"", ""Quick"", ""It's a healthy choice""]","[""Nothing""]",Snack
344,873,2065479000.0,South Africa,2019-01-12 00:15:34.474132,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""On my phone"", ""Browsing the internet"", ""Browsing social media""]",Someone else prepared it,"[""Cake""]","[""It was all I had""]","[""Fruit""]",Dinner
345,874,3379288101.0,South Africa,2019-02-04 09:42:26.612010,At my home,"[""My spouse/partner"", ""My children""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",Someone else prepared it,"[""Bread/ roll/ baguette""]","[""Someone prepared it for me""]","[""Nothing""]",Lunch
346,875,981777797.0,South Africa,2019-04-03 16:21:09.637754,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Relaxing / laying down""]",I prepared it myself from scratch,"[""Cake""]","[""I like the taste""]","[""Nothing""]",Lunch
347,881,822629215.0,South Africa,2019-02-05 21:25:09.651049,At my home,"[""Other family members""]",At my home,I had it at home / brought it from home,"[""Browsing the internet"", ""Nothing""]",Someone else prepared it,"[""Stuffed vegetables"", ""Plain rice""]","[""I like the taste""]","[""Nothing""]",Treat
348,883,885525152.0,South Africa,2019-05-22 16:06:02.123644,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",I ordered take out from a restaurant / cafe,"[""Fried potatoes/ sweet potatoes"", ""Chutney"", ""Chutney""]","[""I like the taste"", ""Kids/ family like it""]","[""Meat""]",Snack
349,886,3637118412.0,South Africa,2019-03-04 17:52:36.427659,At my home,"[""My children""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Browsing social media""]",It was premade / ready to eat,"[""Savoury biscuits""]","[""I was hungry""]","[""Milk / flavoured milk / milk alternatives"", ""Biscuits / cookies""]",Snack
350,894,1097867576.0,South Africa,2019-01-03 15:36:16.371831,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV"", ""Browsing the internet""]",It was premade / ready to eat,"[""Biscuits""]","[""It's my favourite"", ""I wanted to treat myself""]","[""Nothing""]",Snack
351,895,996022268.0,South Africa,2019-04-10 10:45:08.977062,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Listening to radio""]",It was premade / ready to eat,"[""Tropical and exotic fruit"", ""Fruit flavoured yoghurt""]","[""It's a healthy choice""]","[""Nothing""]",Breakfast
352,896,4452563556.0,South Africa,2019-05-11 17:43:47.034159,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Mixed salad"", ""Green salad "", ""Savoury snacks"", ""Hard cheese"", ""Beans""]","[""It's light / not filling""]","[""Nothing""]",Dinner
353,897,1310943472.0,South Africa,2019-02-04 18:03:43.625079,At my home,"[""My children""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",It was premade / ready to eat,"[""Savoury biscuits""]","[""Convenient"", ""I like the taste""]","[""Nothing""]",Snack
354,899,7685544032.0,South Africa,2019-08-26 05:39:28.975546,At my home,"[""Alone""]",At my home,Farmers Market ,"[""Other""]",It was premade / ready to eat,"[""Other fruit""]","[""It looked good""]","[""Fruit""]",Lunch
355,900,4246513380.0,South Africa,2019-07-17 08:17:29.863552,At my home,"[""Alone""]",At my home,,"[""Nothing""]",I prepared it myself from scratch,"[""Bread/ roll/ baguette"", ""Egg-based dish"", ""Jam"", ""Olives"", ""Soft cheese/ cheese spread""]","[""Preferred choice unavailable"", ""It's my habit / routine""]","[""Nothing""]",Breakfast
356,901,581835454.0,South Africa,2019-05-02 16:53:27.808524,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Plain pasta"", ""Other potatoes/ sweet potatoes"", ""Beef"", ""Plain rice"", ""Beans""]","[""Other""]","[""Sweet pastry / baked goods""]",Lunch
357,902,3460021488.0,South Africa,2019-02-08 20:30:38.632213,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",I prepared it myself from scratch,"[""Pasta with meat""]","[""It's my favourite""]","[""Nothing""]",Dinner
358,904,6739665717.0,South Africa,2019-06-26 12:37:51.527302,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",Leftovers,"[""Sandwich/ bagel""]","[""Convenient"", ""Leftovers / to eat it up before it spoils""]","[""Nothing""]",Breakfast
359,905,5329312115.0,South Africa,2019-06-05 06:09:16.842595,Cafe / restaurant / bar / hotel,"[""Colleagues""]",Cafe / restaurant / bar / hotel,,"[""Watching TV""]",Someone else prepared it,"[""Pork""]","[""It's my favourite""]","[""Nothing""]",Lunch
360,907,1173403294.0,South Africa,2019-08-19 11:08:32.775705,At my home,"[""My spouse/partner""]",At my home,,"[""Watching TV""]",I ordered take out from a restaurant / cafe,"[""Chicken"", ""Egg-based dish"", ""Savoury snacks"", ""Savoury snacks""]","[""I was hungry"", ""I was hungry""]","[""Savoury snacks""]",Snack
361,909,6935864958.0,South Africa,2019-07-02 15:44:23.809997,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Savoury biscuits""]","[""It's my habit / routine""]","[""Cereals / porridge""]",Breakfast
362,910,3432750218.0,South Africa,2019-02-05 18:14:04.128579,Cafe / restaurant / bar / hotel,"[""Alone""]",Cafe / restaurant / bar / hotel,,"[""Browsing social media""]",,"[""Biscuits""]","[""I like the taste""]","[""Carbonated soft drink""]",Snack
363,912,6147522124.0,South Africa,2019-05-28 11:30:31.290465,At my home,"[""Other family members""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Talking to someone"", ""Spending time with family""]",It was premade / ready to eat,"[""Plain yoghurt (savoury)""]","[""I wanted a snack"", ""It's light / not filling""]","[""Fruit""]",Snack
364,913,3430496256.0,South Africa,2019-02-02 12:58:46.012756,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Fried sweets (e.g. churros, donuts)""]","[""I wanted a snack""]","[""Nothing""]",Snack
365,914,863532466.0,South Africa,2019-05-01 13:36:46.727738,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Couscous""]","[""It's my habit / routine""]","[""Nothing""]",Breakfast
366,915,5787513219.0,South Africa,2019-06-07 14:43:44.419963,At my home,"[""Alone""]",At my home,,"[""Browsing social media""]",I ordered take out from a restaurant / cafe,"[""Chicken"", ""Plain rice""]","[""I had a craving""]","[""Meat""]",Dinner
367,920,5659968516.0,South Africa,2019-08-08 09:31:15.442910,At my home,"[""My children""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV"", ""Spending time with family""]",It was premade / ready to eat,"[""Cereal""]","[""I was hungry""]","[""Nothing""]",Breakfast
368,924,3342953736.0,South Africa,2019-01-24 17:18:16.154518,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",I prepared it myself from scratch,"[""Salad vegetables""]","[""It's light / not filling"", ""It's a healthy choice""]","[""Vegetables""]",Lunch
369,926,7234168702.0,South Africa,2019-08-25 04:41:44.101056,At my home,"[""Alone""]",At my home,,"[""Cooking""]",I prepared it myself from scratch,"[""Plain rice"", ""Chicken""]","[""It's what I wanted""]","[""Meat"", ""Eggs""]",Breakfast
370,927,6407159486.0,South Africa,2019-06-28 15:09:28.929794,At my home,"[""Alone""]",At my home,Farmers Market ,"[""Browsing social media""]",It was premade / ready to eat,"[""Stone fruit""]","[""It's light / not filling""]","[""Breads""]",Other
371,928,1026903150.0,South Africa,2019-01-31 16:33:23.005180,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Relaxing / laying down"", ""Talking to someone""]",It was premade / ready to eat,"[""Crackers/ wafers""]","[""I wanted a snack"", ""It was all I had""]","[""Sweet pastry / baked goods"", ""Confectionery""]",Treat
372,931,1432706440.0,South Africa,2019-04-27 13:15:30.538973,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Savoury pastry""]","[""I was hungry""]","[""Nothing""]",Lunch
373,932,1325154880.0,South Africa,2019-07-13 19:26:17.749335,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",I ordered take out from a restaurant / cafe,"[""Chicken"", ""Potato crisps""]","[""I like the taste""]","[""Nothing""]",Dinner
374,933,5868591579.0,South Africa,2019-05-28 21:30:43.905963,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Checking emails"", ""Browsing the internet""]",It was premade / ready to eat,"[""Duck""]","[""I wanted to treat myself"", ""I wanted to try something new""]","[""Breads"", ""Potatoes""]",Treat
375,938,6475765942.0,South Africa,2019-08-11 11:37:52.530100,At my home,"[""My spouse/partner""]",At my home,,"[""Watching TV""]",Leftovers,"[""Vegetable soup"", ""Plain nuts"", ""Pork"", ""Mixed salad""]","[""Other""]","[""Other dishes""]",Dinner
376,939,4242044985.0,South Africa,2019-05-28 18:12:47.702492,At my home,"[""Alone""]",At my home,Other,"[""Watching TV""]",It was premade / ready to eat,"[""Plain rice"", ""Seafood""]","[""I was hungry"", ""It was all I had""]","[""Meat""]",Dinner
377,942,6224707318.0,South Africa,2019-06-01 05:46:14.411054,At my home,"[""Alone""]",At my home,,"[""Playing games""]",I prepared it myself from scratch,"[""Instant noodles""]","[""Convenient"", ""Quick"", ""Cheap""]","[""Cereals / porridge""]",Lunch
378,946,8074416316.0,South Africa,2019-08-24 23:55:35.477677,At my home,"[""My spouse/partner"", ""My children""]",At my home,,"[""Listening to radio""]",I prepared it myself from scratch,"[""Plain rice"", ""Beef"", ""Seafood"", ""Other potatoes/ sweet potatoes""]","[""It's a healthy choice""]","[""Nothing""]",Breakfast
379,948,5525495060.0,South Africa,2019-06-11 06:31:35.432645,At my home,"[""Other family members""]",At my home,,"[""Nothing""]",I ordered take out from a restaurant / cafe,"[""Meat noodles"", ""Meat soup""]","[""I wanted something hot""]","[""Nothing""]",Other
380,960,6596549224.0,South Africa,2019-07-02 16:26:32.552262,At my home,"[""My spouse/partner"", ""My children""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Chicken"", ""Beans"", ""Leafy green veg"", ""Mixed salad"", ""Plain rice""]","[""Energy boost""]","[""Rice / pasta / grains / pulses""]",Lunch
381,961,3201394502.0,South Africa,2019-02-01 17:22:40.269277,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Browsing social media""]",I prepared it myself from scratch,"[""Plain pasta""]","[""It's my favourite""]","[""Dairy"", ""Eggs""]",Dinner
382,962,7608926416.0,South Africa,2019-08-22 13:57:08.292497,At school / work,"[""Alone""]",At school / work,Cafe / restaurant,"[""Watching TV""]",It was premade / ready to eat,"[""Bread/ roll/ baguette""]","[""It's light / not filling"", ""I like the taste""]","[""Nothing""]",Snack
383,964,11456344.0,South Africa,2019-05-28 20:11:53.177793,Cafe / restaurant / bar / hotel,"[""Other family members""]",Cafe / restaurant / bar / hotel,,"[""Browsing social media""]",I prepared it myself from scratch,"[""Rice with meat "", ""Salad vegetables""]","[""It's my favourite""]",Other dishes,Dinner
384,965,2310318044480.0,South Africa,2019-07-24 07:03:22.826084,At my home,"[""Alone""]",At my home,,"[""Talking to someone""]",I prepared it myself from scratch,"[""Rice with vegetables"", ""Beans""]","[""I was hungry""]","[""Breads"", ""Vegetables""]",Lunch
385,971,355837600.0,South Africa,2019-01-31 14:47:00.118304,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Crackers/ wafers""]","[""Convenient"", ""It's light / not filling""]","[""Nothing""]",Breakfast
386,975,2970935.0,South Africa,2019-04-26 13:58:04.852801,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Chilled soup""]","[""It's a healthy choice"", ""I like the taste""]","[""Nothing""]",Dinner
387,976,2337043469461.0,South Africa,2019-07-26 04:09:20.722193,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Savoury pastry""]","[""It's my favourite""]","[""Savoury snacks"", ""Rice / pasta / grains / pulses"", ""Breads""]",Breakfast
388,980,710178261.0,South Africa,2019-05-04 14:01:42.841302,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Other""]",It was premade / ready to eat,"[""Cereal/ muesli bar""]","[""Other""]","[""Nothing""]",Snack
389,981,5377274550.0,South Africa,2019-05-18 17:05:17.863236,At my home,"[""Alone""]",At my home,,"[""Nothing""]",I ordered take out from a restaurant / cafe,"[""Broccolli, cabbage, cauliflower"", ""Chutney""]","[""I had a craving""]","[""Nothing""]",Treat
390,982,6059462838.0,South Africa,2019-08-27 05:17:23.177982,At my home,"[""My spouse/partner"", ""My children""]",At my home,,"[""Cooking""]",I prepared it myself from scratch,"[""Plain rice"", ""Plain rice""]","[""It's my favourite""]","[""Savoury snacks""]",Breakfast
391,984,4060300366.0,South Africa,2019-08-22 12:38:53.347513,At my home,"[""My spouse/partner"", ""Other family members""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Browsing social media""]",It was premade / ready to eat,"[""Crackers/ wafers""]","[""It's light / not filling"", ""Quick""]","[""Sandwich / bagel / wrap""]",Breakfast
392,989,3377316690.0,South Africa,2019-04-04 18:02:42.094770,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Browsing social media""]",I prepared it myself from scratch,"[""Seafood"", ""Bread/ roll/ baguette""]","[""It's a healthy choice"", ""I like the taste""]","[""Coffee""]",Snack
393,993,2706212850.0,South Africa,2019-01-31 16:20:03.444565,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Crackers/ wafers""]","[""It's my habit / routine""]","[""Juice / juice drinks"", ""Healthy / meal replacement drinks""]",Breakfast
394,994,0.0,South Africa,2019-02-13 17:47:00.280078,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Nothing""]",It was premade / ready to eat,"[""Sweet spreads/ jams/ syrups""]","[""I like the taste""]","[""Nothing""]",Snack
395,997,2751149459.0,South Africa,2019-05-15 16:57:28.883123,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Playing games""]",It was premade / ready to eat,"[""Plain yoghurt (sweet)""]","[""Other""]","[""Nothing""]",Snack
396,1002,3280928650.0,South Africa,2019-01-24 19:57:59.224009,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",It was premade / ready to eat,"[""Plain nuts""]","[""I wanted a snack""]","[""Sandwich / bagel / wrap""]",Snack
397,1005,0.0,South Africa,2019-04-08 16:21:19.392056,At my home,"[""My spouse/partner""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",I prepared it myself from scratch,"[""Chicken"", ""Plain rice"", ""Beans""]","[""It's what I wanted""]","[""Meat""]",Lunch
398,1006,0.0,South Africa,2019-01-24 18:06:25.467966,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Browsing social media""]",I prepared it myself from scratch,"[""Vegetable soup""]","[""I like the taste"", ""Convenient""]","[""Breads""]",Dinner
399,1010,25544775152.0,South Africa,2019-02-17 08:48:23.914690,At my home,"[""My spouse/partner"", ""My children"", ""Other family members""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",Someone else prepared it,"[""Bread/ roll/ baguette""]","[""To relax""]","[""Nothing""]",Breakfast
400,1011,3614559876.0,South Africa,2019-04-10 17:32:23.960299,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Tropical and exotic fruit""]","[""Convenient""]","[""Other Dishes""]",Snack
401,1015,5822352775.0,South Africa,2019-05-29 04:50:02.667601,At my home,"[""My children""]",At my home,,"[""Watching TV""]",I prepared it myself using a meal kit,"[""Bread/ roll/ baguette""]","[""It's a healthy choice""]","[""Breads"", ""Eggs""]",Breakfast
402,1017,3362900784.0,South Africa,2019-02-04 16:58:22.861090,At my home,"[""Other family members""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Dried fruit""]","[""I like the taste""]","[""Nothing""]",Treat
403,1022,4314637505.0,South Africa,2019-08-16 12:12:11.802026,At my home,"[""Alone""]",At my home,Other,"[""Relaxing / laying down"", ""Nothing""]",It was premade / ready to eat,"[""Sweet breads / buns""]","[""I wanted a snack""]","[""Sweet pastry / baked goods""]",Treat
404,1023,6497408595.0,South Africa,2019-08-23 14:37:56.248838,At my home,"[""Alone""]",At my home,,"[""Other""]",I prepared it myself from scratch,"[""Bread/ roll/ baguette""]","[""Other""]","[""Nothing""]",Dinner
405,1026,2674649817.0,South Africa,2019-04-30 09:27:09.093699,At my home,"[""Alone""]",At my home,,"[""Browsing social media""]",Someone else prepared it,"[""Bread/ roll/ baguette"", ""Other vegetable dish""]","[""It's my habit / routine""]","[""Rice / pasta / grains / pulses""]",Lunch
406,1031,4085470704.0,South Africa,2019-05-02 14:35:31.097604,At someone else's home,"[""My children""]",At someone else's home,Supermarket / Hypermarket / Grocery Store ,"[""Nothing""]",It was premade / ready to eat,"[""Stone fruit""]","[""It's my habit / routine""]","[""Fruit""]",Treat
407,1033,1082725050.0,South Africa,2019-06-05 12:11:56.231336,Cafe / restaurant / bar / hotel,"[""Alone""]",Cafe / restaurant / bar / hotel,,"[""Watching TV""]",Someone else prepared it,"[""Plain rice"", ""Egg-based dish"", ""Chicken"", ""Beans""]","[""It's a healthy choice"", ""I like the taste""]","[""Vegetables""]",Dinner
408,1034,5234051628.0,South Africa,2019-05-01 20:29:20.796067,At my home,"[""My children"", ""My spouse/partner""]",At my home,,"[""Other""]",I prepared it myself from scratch,"[""Plain pasta""]","[""Easy to prepare""]","[""Potatoes""]",Dinner
409,1037,0.0,South Africa,2019-02-04 19:51:03.104697,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",I prepared it myself from scratch,"[""Crackers/ wafers"", ""Crackers/ wafers""]","[""I like the taste""]","[""Nothing""]",Snack
410,1041,2771744552.0,South Africa,2019-01-31 16:35:17.502934,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",Someone else prepared it,"[""Plain rice"", ""Meat soup"", ""Savoury snacks""]","[""It was all I had""]","[""Vegetables""]",Dinner
411,1047,3433386231.0,South Africa,2019-02-21 16:59:30.177349,At my home,"[""My spouse/partner"", ""My children""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",Someone else prepared it,"[""Green salad "", ""Stuffed vegetables"", ""Other potatoes/ sweet potatoes""]","[""Someone prepared it for me""]","[""Nothing""]",Dinner
412,1051,6471840.0,South Africa,2019-01-31 15:37:14.587331,At my home,"[""Alone""]",At my home,Kiosk / Stall,"[""Watching TV""]",,"[""Dried fruit""]","[""I wanted a snack""]","[""Nothing""]",Treat
413,1055,596878380.0,South Africa,2019-01-24 17:21:56.841604,At my home,"[""Other family members""]",At my home,I had it at home / brought it from home,"[""Relaxing / laying down""]",I prepared it myself from scratch,"[""Cake""]","[""I wanted a snack"", ""It's what I wanted""]","[""Nothing""]",Treat
414,1059,25341840.0,South Africa,2019-07-12 16:21:09.868421,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""White fish""]","[""It's my favourite""]","[""Nothing""]",Dinner
415,1062,6032744661.0,South Africa,2019-05-24 18:41:45.893564,At my home,"[""Friends""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Egg-based dish"", ""Bread/ roll/ baguette""]","[""Quick""]","[""Meat""]",Dinner
416,1068,7707465133.0,South Africa,2019-08-15 00:56:13.996369,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",I ordered take out from a restaurant / cafe,"[""Chicken""]","[""I like the taste"", ""Cheap""]","[""Other dishes""]",Breakfast
417,1071,19011432.0,South Africa,2019-05-23 14:36:08.666616,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Checking emails""]",It was premade / ready to eat,"[""Sweet spreads/ jams/ syrups""]","[""I wanted a snack""]","[""Nothing""]",Snack
418,1074,75760906.0,South Africa,2019-02-01 16:30:56.681341,At my home,"[""My children""]",At my home,Other,"[""Reading""]",I prepared it myself from scratch,"[""Custards/ sweet puddings""]","[""I had a craving""]","[""Nothing""]",Snack
419,1078,938488980.0,South Africa,2019-06-25 16:41:50.240899,At my home,"[""Alone""]",At my home,,"[""Browsing the internet""]",Leftovers,"[""Plain nuts""]","[""Convenient""]","[""Nothing""]",Snack
420,1079,6409672488.0,South Africa,2019-08-07 13:26:33.347200,At school / work,"[""Alone""]",At school / work,,"[""Working / studying""]",I prepared it myself from scratch,"[""Plain yoghurt (sweet)""]","[""Other""]","[""Nothing""]",Lunch
421,1081,3797699480.0,South Africa,2019-05-04 04:51:58.616469,At my home,"[""Alone""]",At my home,,"[""Nothing""]",Someone else prepared it,"[""Bread/ roll/ baguette""]","[""It's my habit / routine""]","[""Nothing""]",Breakfast
422,1090,801375669.0,South Africa,2019-07-03 01:28:12.093983,At my home,"[""Colleagues""]",At my home,,"[""Working / studying""]",I ordered take out from a restaurant / cafe,"[""Burger""]","[""Preferred choice unavailable""]","[""Vegetables""]",Dinner
423,1095,3602252890.0,South Africa,2019-05-02 15:11:43.416976,At my home,"[""Alone""]",At my home,,"[""Listening to music""]",I prepared it myself from scratch,"[""Rice with meat ""]","[""It's my habit / routine""]","[""Other Dishes""]",Lunch
424,1097,4532645743.0,South Africa,2019-09-17 17:34:36.140148,On the go / outdoors,"[""Alone""]",On the go / outdoors,Supermarket / Hypermarket / Grocery Store ,"[""Walking""]",It was premade / ready to eat,"[""Cheese pizza""]","[""It's light / not filling""]","[""Nothing""]",Lunch
425,1098,4351611825.0,South Africa,2019-06-02 14:26:59.723213,At my home,"[""Alone""]",At my home,,"[""Browsing social media""]",I prepared it together with friends / family,"[""Plain nuts""]","[""I wanted a snack""]","[""Rice / pasta / grains / pulses""]",Snack
426,1100,2959918698.0,South Africa,2019-04-11 10:48:59.568365,At school / work,"[""Alone""]",At school / work,Cafe / restaurant,"[""Browsing social media""]",,"[""Chicken"", ""Other grains"", ""Bread/ roll/ baguette"", ""Green salad "", ""Salad vegetables""]","[""Other""]","[""Nothing""]",Lunch
427,1107,1108069452.0,South Africa,2019-04-29 11:39:59.015328,At my home,"[""My spouse/partner""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Toast""]","[""I wanted a snack""]","[""Nothing""]",Snack
428,1108,263860770.0,South Africa,2019-01-24 17:41:34.927489,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",I prepared it myself from scratch,"[""Bread/ roll/ baguette""]","[""I wanted a snack""]","[""Nothing""]",Snack
429,1113,8716149.0,South Africa,2019-02-07 11:00:58.098296,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Browsing social media""]",I prepared it myself from scratch,"[""Plain yoghurt (sweet)""]","[""It's a healthy choice"", ""It's light / not filling""]","[""Nothing""]",Snack
430,1118,3211280076.0,South Africa,2019-01-24 19:11:10.680998,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",I prepared it myself from scratch,"[""Vegetable soup""]","[""It's a healthy choice""]","[""Nothing""]",Dinner
431,1128,4468046022.0,South Africa,2019-05-22 19:25:53.982963,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Plain nuts""]","[""I had a craving"", ""To relax""]","[""Nothing""]",Snack
432,1133,729262528.0,South Africa,2019-02-21 10:00:24.807088,At my home,"[""My spouse/partner""]",At my home,I had it at home / brought it from home,"[""Watching TV"", ""Browsing social media""]",I prepared it myself from scratch,"[""Other potatoes/ sweet potatoes"", ""Pork""]","[""It's my favourite""]","[""Nothing""]",Dinner
433,1138,1620690456.0,South Africa,2019-05-22 14:23:08.171755,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Fried sweets (e.g. churros, donuts)""]","[""Personal dietary requirement""]","[""Nothing""]",Snack
434,1140,2899550752.0,South Africa,2019-02-09 14:41:34.853898,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Browsing social media""]",Someone else prepared it,"[""Savoury biscuits""]","[""It was all I had""]","[""Rice / pasta / grains / pulses"", ""Rice / pasta / grains / pulses""]",Breakfast
435,1141,3280746200.0,South Africa,2019-02-09 11:15:53.522584,At my home,"[""My spouse/partner""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",I prepared it myself from scratch,"[""Bread/ roll/ baguette""]","[""Convenient""]","[""Cereals / porridge""]",Breakfast
436,1142,2910729804.0,South Africa,2019-05-19 11:24:14.703106,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Nothing""]",It was premade / ready to eat,"[""Dried fruit"", ""Bread/ roll/ baguette""]","[""It's my habit / routine""]","[""Rice / pasta / grains / pulses"", ""Fruit""]",Other
437,1145,2767170450.0,South Africa,2019-01-31 14:50:19.230986,At my home,"[""My children""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Potato crisps""]","[""Kids/ family like it""]","[""Breads""]",Snack
438,1148,2751284361.0,South Africa,2019-02-03 12:00:41.618717,At my home,"[""Alone""]",At my home,Kiosk / Stall,"[""Nothing""]",,"[""Other potatoes/ sweet potatoes""]","[""It's a healthy choice""]","[""Nothing""]",Breakfast
439,1149,25265327295.0,South Africa,2019-02-08 13:10:46.654865,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Browsing social media"", ""Watching TV""]",I prepared it myself from scratch,"[""Bread/ roll/ baguette"", ""Vegetable curry"", ""Plain nuts"", ""Croissants/ sweet pastry""]","[""I was hungry"", ""It's a healthy choice""]","[""Rice / pasta / grains / pulses"", ""Savoury snacks"", ""Biscuits / cookies""]",Lunch
440,1150,2888386424.0,South Africa,2019-02-03 13:37:07.009746,At my home,"[""My spouse/partner"", ""My children""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Nothing"", ""Cooking""]",It was premade / ready to eat,"[""Sweet crepes/ pancakes"", ""Sweet spreads/ jams/ syrups""]","[""I wanted a snack""]","[""Sweet pastry / baked goods""]",Snack
441,1151,7412586990.0,South Africa,2019-07-24 18:39:07.757296,At my home,"[""My spouse/partner"", ""My children""]",At my home,,"[""Watching TV""]",Someone else prepared it,"[""Pasta with sauce""]","[""Quick""]","[""Eggs""]",Dinner
